artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
Chef Lino,2025-09-09,4,261,313,15,234,5,1350,5
PYRO,2025-09-09,1,249,117,0,0,0,0,0
bo.wlie,2025-09-09,0,175,17,94,13789,71,0,0
Mango Blade,2025-09-09,1,180,129,0,0,0,623,9
ZACKO,2025-09-09,0,7,0,0,0,0,505,21
ARANDA,2025-09-09,0,177,638,0,0,0,1166,33
Casa 24Beats,2025-09-09,0,0,N/A,11,2276,84,0,0
Discord Server,2025-09-09,0,59,14,0,0,0,0,0
Casa 24,2025-09-10,5,586,1800,624,29141,94,1688,577
Chef Lino,2025-09-10,4,261,313,15,234,5,1349,5
PYRO,2025-09-10,1,249,117,0,0,0,0,0
bo.wlie,2025-09-10,0,175,17,94,13813,71,0,0
Mango Blade,2025-09-10,1,180,129,0,0,0,621,9
ZACKO,2025-09-10,0,7,0,0,0,0,505,21
ARANDA,2025-09-10,0,177,638,0,0,0,1165,33
Casa 24Beats,2025-09-10,0,0,N/A,11,2288,86,0,0
Discord Server,2025-09-10,0,59,17,0,0,0,0,0
Casa 24,2025-09-11,4,586,1800,624,29142,94,1689,577
Chef Lino,2025-09-11,4,261,310,15,234,5,1349,5
PYRO,2025-09-11,1,249,115,0,0,0,0,0
bo.wlie,2025-09-11,0,175,16,94,13813,71,0,0
Mango Blade,2025-09-11,1,180,126,0,0,0,621,9
ZACKO,2025-09-11,0,7,0,0,0,0,505,21
ARANDA,2025-09-11,0,177,638,0,0,0,1164,33
Casa 24Beats,2025-09-11,0,0,N/A,11,2954,88,0,0
Discord Server,2025-09-11,0,59,14,0,0,0,0,0
Casa 24,2025-09-12,4,586,1800,624,29146,94,1691,577
Chef Lino,2025-09-12,4,261,300,15,234,5,1348,5
PYRO,2025-09-12,1,248,112,0,0,0,0,0
bo.wlie,2025-09-12,0,175,16,94,13813,71,0,0
Mango Blade,2025-09-12,1,180,129,0,0,0,621,9
ZACKO,2025-09-12,0,7,0,0,0,0,505,21
ARANDA,2025-09-12,0,177,638,0,0,0,1165,33
Casa 24Beats,2025-09-12,0,0,N/A,11,3096,90,0,0
Discord Server,2025-09-12,0,59,18,0,0,0,0,0
Casa 24,2025-09-13,4,585,1800,624,29158,94,1691,577
Chef Lino,2025-09-13,4,262,302,15,234,5,1344,5
PYRO,2025-09-13,1,248,114,0,0,0,0,0
bo.wlie,2025-09-13,0,175,17,94,13814,71,0,0
Mango Blade,2025-09-13,1,180,139,0,0,0,620,9
ZACKO,2025-09-13,0,7,0,0,0,0,504,21
ARANDA,2025-09-13,0,177,641,0,0,0,1167,33
Casa 24Beats,2025-09-13,0,0,N/A,11,3469,92,0,0
Discord Server,2025-09-13,0,59,19,0,0,0,0,0
Casa 24,2025-09-13,4,585,1800,624,29174,94,1691,577
Chef Lino,2025-09-13,4,262,302,15,234,5,1344,5
PYRO,2025-09-13,1,248,114,0,0,0,0,0
bo.wlie,2025-09-13,0,175,17,94,13814,71,0,0
Mango Blade,2025-09-13,1,180,139,0,0,0,620,9
ZACKO,2025-09-13,0,7,0,0,0,0,504,21
ARANDA,2025-09-13,0,177,641,0,0,0,1167,33
Casa 24Beats,2025-09-13,0,0,N/A,11,3471,92,0,0
Discord Server,2025-09-13,0,59,16,0,0,0,0,0
Casa 24,2025-09-14,4,585,1800,624,29174,94,1692,577
Chef Lino,2025-09-14,4,262,302,15,235,5,1344,5
PYRO,2025-09-14,1,248,114,0,0,0,0,0
bo.wlie,2025-09-14,0,175,15,94,13814,71,0,0
Mango Blade,2025-09-14,1,180,140,0,0,0,620,9
ZACKO,2025-09-14,0,7,0,0,0,0,503,21
